,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
Power Loss Waveguide Power Combining,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-6.020599913279624,-6.020599913279624,-6.020599913279624,-12.041199826559248,-12.041199826559248,-12.041199826559248,-15.051499783199061,-15.051499783199061,-15.051499783199061,-18.06179973983887,-18.06179973983887,-18.06179973983887,-21.072099696478684,-21.072099696478684,-21.072099696478684,-24.082399653118497,-24.082399653118497,-24.082399653118497,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436,-9.030899869919436
PCM OMA Actual Loss,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,5.161013163821467,5.161013163821467,5.161013163821467,22.893104551443418,22.893104551443418,22.893104551443418,52.55503529367742,52.55503529367742,52.55503529367742,138.4852812038278,138.4852812038278,138.4852812038278,480.78641942140615,480.78641942140615,480.78641942140615,2897.4726510269807,2897.4726510269807,2897.4726510269807,4.706899947463715,4.706899947463715,4.706899947463715,27.52356540017842,27.52356540017842,27.52356540017842,91.33018388830526,91.33018388830526,91.33018388830526,502.8096651377624,502.8096651377624,502.8096651377624,7619.951231687407,7619.951231687407,7619.951231687407,875022.7517286784,875022.7517286784,875022.7517286784,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798,10.684024460467798
MRM Tx OMA Actual Loss,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,105.33649934681901,105.33649934681901,105.33649934681901,467.2492427522121,467.2492427522121,467.2492427522121,1072.6505174781232,1072.6505174781232,1072.6505174781232,2826.4905106868036,2826.4905106868036,2826.4905106868036,9812.871377728252,9812.871377728252,9812.871377728252,59137.54069682266,59137.54069682266,59137.54069682266,96.06802918410564,96.06802918410564,96.06802918410564,561.7571466629022,561.7571466629022,561.7571466629022,1864.0529582319277,1864.0529582319277,1864.0529582319277,10262.366764463142,10262.366764463142,10262.366764463142,155523.5304505802,155523.5304505802,155523.5304505802,17859251.776771516,17859251.776771516,17859251.776771516,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813,218.061396062813
Crossbar Junctions Actual Loss,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,11.68108001380608,11.68108001380608,11.68108001380608,100.17093065542849,100.17093065542849,100.17093065542849,366.533566542924,366.533566542924,366.533566542924,1593.384573633021,1593.384573633021,1593.384573633021,8851.28299278458,8851.28299278458,8851.28299278458,76757.28008286998,76757.28008286998,76757.28008286998,10.653271587974823,10.653271587974823,10.653271587974823,120.43194730954872,120.43194730954872,120.43194730954872,636.9623357027573,636.9623357027573,636.9623357027573,5785.229714953642,5785.229714953642,5785.229714953642,140283.38159811118,140283.38159811118,140283.38159811118,23180328.00396443,23180328.00396443,23180328.00396443,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043,31.877833178524043
Crossbar Waveguides Actual Loss,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,1.4447048965076565,1.4447048965076565,1.4447048965076565,12.763876559874108,12.763876559874108,12.763876559874108,48.5679561014809,48.5679561014809,48.5679561014809,227.84660587064658,227.84660587064658,227.84660587064658,1461.8825572315577,1461.8825572315577,1461.8825572315577,16378.970386591995,16378.970386591995,16378.970386591995,1.3175865252855405,1.3175865252855405,1.3175865252855405,15.34555483578348,15.34555483578348,15.34555483578348,84.40143436381675,84.40143436381675,84.40143436381675,827.2610244548424,827.2610244548424,827.2610244548424,23169.27713133941,23169.27713133941,23169.27713133941,4946369.979740253,4946369.979740253,4946369.979740253,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124,3.9821604550626124
Splitting Tree Actual Loss,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,29.442808666870654,29.442808666870654,29.442808666870654,130.60173956226146,130.60173956226146,130.60173956226146,299.81862078542576,299.81862078542576,299.81862078542576,790.0378294410274,790.0378294410274,790.0378294410274,2742.8146581538094,2742.8146581538094,2742.8146581538094,16529.64837983679,16529.64837983679,16529.64837983679,14.043937457129536,14.043937457129536,14.043937457129536,287.619566137134,287.619566137134,287.619566137134,1614.6746915606407,1614.6746915606407,1614.6746915606407,13144.1910773113,13144.1910773113,13144.1910773113,244830.1962387695,244830.1962387695,244830.1962387695,29590090.53037867,29590090.53037867,29590090.53037867,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455,60.950762572517455
Tx Waveguides Actual Loss,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,4.498680797349612,4.498680797349612,4.498680797349612,39.39733517154049,39.39733517154049,39.39733517154049,148.1742281810439,148.1742281810439,148.1742281810439,679.2977405683569,679.2977405683569,679.2977405683569,4166.671638888871,4166.671638888871,4166.671638888871,42850.03352437325,42850.03352437325,42850.03352437325,4.102845649985133,4.102845649985133,4.102845649985133,47.366014895444806,47.366014895444806,47.366014895444806,257.497296532317,257.497296532317,257.497296532317,2466.3810225528377,2466.3810225528377,2466.3810225528377,66037.29515695765,66037.29515695765,66037.29515695765,12940503.2461216,12940503.2461216,12940503.2461216,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345,12.36369866018345
Grating Coupler Actual Loss,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,64.58568625557223,64.58568625557223,64.58568625557223,286.48771492005534,286.48771492005534,286.48771492005534,657.6815274221598,657.6815274221598,657.6815274221598,1733.0254039155402,1733.0254039155402,1733.0254039155402,6016.632753112091,6016.632753112091,6016.632753112091,36259.403654526934,36259.403654526934,36259.403654526934,58.902845932321874,58.902845932321874,58.902845932321874,344.4339906031946,344.4339906031946,344.4339906031946,1142.9195034073837,1142.9195034073837,1142.9195034073837,6292.2349252082295,6292.2349252082295,6292.2349252082295,95357.20291945926,95357.20291945926,95357.20291945926,10950164.844724055,10950164.844724055,10950164.844724055,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827,133.70147098010827
Waveguide Power Combining Actual Loss,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,153.13263826921667,153.13263826921667,153.13263826921667,679.262266314346,679.262266314346,679.262266314346,1559.362658725243,1559.362658725243,1559.362658725243,4109.002592912221,4109.002592912221,4109.002592912221,14265.434036501312,14265.434036501312,14265.434036501312,85971.03267919732,85971.03267919732,85971.03267919732,119.70739368059417,119.70739368059417,119.70739368059417,874.9852120364561,874.9852120364561,874.9852120364561,3000.204047866436,3000.204047866436,3000.204047866436,16783.747520398545,16783.747520398545,16783.747520398545,256372.0571498356,256372.0571498356,256372.0571498356,29555907.96932672,29555907.96932672,29555907.96932672,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948,317.0061383359948
Compute Portion,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9924585218702865,0.9633967789165447,0.9293785310734463,0.9924585218702865,0.9633967789165447,0.9293785310734463,0.9943332074046091,0.972294052456594,0.9460819554277498,0.9943332074046091,0.972294052456594,0.9460819554277498,0.9948029859208164,0.9745441081181153,0.9503520491063369,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421202,0.7668997668997669,0.6219281663516067,0.9426934097421203,0.7668997668997668,0.6219281663516067,0.9426934097421203,0.7668997668997668,0.6219281663516067,0.9426934097421203,0.7668997668997668,0.6219281663516067,0.9426934097421203,0.7668997668997668,0.6219281663516067,0.9426934097421203,0.7668997668997669,0.6219281663516067,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516067,0.9426934097421203,0.7668997668997669,0.6219281663516067,0.9426934097421203,0.7668997668997669,0.6219281663516067,0.9426934097421203,0.7668997668997669,0.6219281663516067,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516069,0.9426934097421203,0.7668997668997669,0.6219281663516069
Program Portion,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.007541478129713424,0.036603221083455345,0.07062146892655367,0.007541478129713424,0.036603221083455345,0.07062146892655367,0.00566679259539101,0.02770594754340599,0.05391804457225018,0.00566679259539101,0.02770594754340599,0.05391804457225018,0.005197014079183598,0.02545589188188466,0.04964795089366312,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.23310023310023315,0.3780718336483932,0.05730659025787966,0.23310023310023312,0.37807183364839325,0.05730659025787966,0.23310023310023312,0.37807183364839325,0.05730659025787966,0.23310023310023312,0.37807183364839325,0.05730659025787966,0.23310023310023312,0.37807183364839325,0.05730659025787966,0.2331002331002331,0.37807183364839314,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787967,0.23310023310023312,0.3780718336483932,0.05730659025787967,0.23310023310023312,0.3780718336483932,0.05730659025787967,0.23310023310023312,0.3780718336483932,0.05730659025787967,0.23310023310023317,0.37807183364839325,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.2331002331002331,0.3780718336483932,0.05730659025787966,0.2331002331002331,0.3780718336483932
Total Time,0.00095975,0.00023595000000000002,0.000145475,0.007293,0.0015026,0.0007788000000000001,0.014586,0.0030052,0.0015576000000000001,0.029116999999999997,0.0059554000000000005,0.0030602000000000003,0.058233999999999994,0.011910800000000001,0.006120400000000001,0.11641299999999999,0.023766600000000002,0.0121858,0.0019195,0.00047190000000000003,0.00029095,0.00057585,0.00014157,8.7285e-05,0.0003839,9.438e-05,5.819e-05,0.00019195,4.719e-05,2.9095e-05,0.00019195,4.719e-05,2.9095e-05,0.00019195,4.719e-05,2.9095e-05,0.001910775,0.00046975500000000003,0.00028962750000000005,0.000479875,0.00011797500000000001,7.27375e-05,0.0002443,6.0060000000000004e-05,3.703e-05,0.00012215,3.0030000000000002e-05,1.8515e-05,6.1075e-05,1.5015000000000001e-05,9.2575e-06,3.49e-05,8.58e-06,5.29e-06,0.00095975,0.00023595000000000002,0.000145475,0.00095975,0.00023595000000000002,0.000145475,0.00095975,0.00023595000000000002,0.000145475,0.00095975,0.00023595000000000002,0.000145475,0.00095975,0.00023595000000000002,0.000145475,0.00095975,0.00023595000000000002,0.000145475,0.00095975,0.00023595000000000002,0.000145475,0.00095975,0.00023595000000000002,0.000145475,0.00095975,0.00023595000000000002,0.000145475,0.00095975,0.00023595000000000002,0.000145475,0.00095975,0.00023595000000000002,0.000145475,0.00095975,0.00023595000000000002,0.000145475
Total Electronics Area,0.44586840000000005,0.4858684000000001,0.5858684,0.44586840000000005,0.4858684000000001,0.5858684,0.44586840000000005,0.4858684000000001,0.5858684,0.44586840000000005,0.4858684000000001,0.5858684,0.44586840000000005,0.4858684000000001,0.5858684,0.44586840000000005,0.4858684000000001,0.5858684,0.3048684,0.3248684,0.3748684,0.7554684,0.8354684000000001,1.0354684,1.3470684,1.5070684,1.9070684,2.5302684,2.8502684,3.6502684,4.8966684,5.536668400000001,7.1366684000000005,9.6294684,10.909468400000002,14.1094684,0.4200684,0.46006840000000004,0.5600683999999999,0.5250684,0.5650684,0.6650684,0.6558683999999999,0.6958683999999999,0.7958684,0.9174684,0.9574684,1.0574683999999999,1.4406684,1.4806684,1.5806684,2.4870684,2.5270684,2.6270683999999997,0.5085219,0.5485219,0.6485219,0.5711753999999999,0.6111753999999999,0.7111753999999999,0.7278091499999999,0.7678091499999999,0.86780915,0.45960960000000006,0.4996096000000001,0.5996096,0.45502905000000005,0.4950290500000001,0.59502905,0.45044850000000003,0.49044850000000006,0.5904484999999999,0.5085219,0.5485219,0.6485219,0.5711753999999999,0.6111753999999999,0.7111753999999999,0.7278091499999999,0.7678091499999999,0.86780915,0.42040920000000004,0.4604092000000001,0.5604091999999999,0.4564092,0.49640920000000005,0.5964092,0.6364091999999999,0.6764091999999999,0.7764092
Total Photonics Area,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.01511,0.01511,0.01511,0.05471,0.05471,0.05471,0.10751000000000001,0.10751000000000001,0.10751000000000001,0.21311000000000002,0.21311000000000002,0.21311000000000002,0.42431,0.42431,0.42431,0.8467100000000001,0.8467100000000001,0.8467100000000001,0.01499,0.01499,0.01499,0.05495,0.05495,0.05495,0.10823,0.10823,0.10823,0.21479000000000004,0.21479000000000004,0.21479000000000004,0.42791,0.42791,0.42791,0.8541500000000001,0.8541500000000001,0.8541500000000001,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002,0.028310000000000002
