,filler name,filler name,filler name,filler name,filler name,filler name,filler name
Systolic Array Rows,64,128,64,32,16,128,8
Systolic Array Cols,64,128,64,32,16,128,8
SRAM Input Size,64000,64000,64000,64000,64000,64000,64000
SRAM Filter Size,64000,64000,64000,64000,64000,64000,64000
SRAM Output Size,64000,64000,64000,64000,64000,64000,64000
DRAM Bandwidth Mode,0,0,0,0,0,0,0
Batch Size,32,1,1,1,1,32,1
SRAM Input Reads,1739792768,31496204,54368524,108737048,217472048,1007878528,434942048
SRAM Filter Reads,25502912,25502912,25502912,25502912,25502912,25502912,25502912
SRAM Output Writes,1757192192,29829248,54912256,109050112,218100224,954535936,435426048
DRAM Input Reads,256966842,8030208,8030208,8030208,8030208,256966842,8030208
DRAM Filter Reads,25502912,25502912,25502912,25502912,25502912,25502912,25502912
DRAM Output Writes,1757193263,29829248,54912256,109050112,218100224,954536190,435426048
Total Weights Programming Cycles,14080,3326,13239,52954,212120,3537,847352
Total Vector Segments Processed,27439882,270614,841386,3341564,13365692,8791088,53367464